"Index";"Company";"TypeName";"Inches";"ResolutionWidth";"ResolutionHeight";"Touchscreen";"cpu_brand";"cpu_name";"cpu_speed";"Ram";"Memory_type";"Primary_storage";"Secondary_storage";"Gpu_brand";"OpSys";"Weight";"Price"
74;"Acer";"Notebook";14.0;1366;768;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Intel";"Windows";2.1;20726
609;"Acer";"Notebook";14.0;1366;768;0;"Intel";"Pentium Quad";1.6;4;"Flash storage";128;0;"Intel";"Windows";1.6;18595
602;"Acer";"Notebook";14.0;1920;1080;0;"Intel";"Celeron Quad";1.1;4;"Flash storage";32;0;"Intel";"Windows";1.6;17529
777;"Acer";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.4;4;"SSD";128;0;"Intel";"Windows";1.8;33886
829;"Acer";"Notebook";14.0;1920;1080;0;"Intel";"Core i3";2.4;8;"SSD";128;0;"Intel";"Windows";1.5;32980
868;"Acer";"Notebook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.56;48059
493;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A10-Series 9620P";2.5;8;"HDD";1024;0;"AMD";"Windows";2.2;30849
324;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A12-Series 9720P";2.7;8;"SSD";256;0;"AMD";"Windows";2.2;35112
1089;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A8-Series 7410";2.2;4;"HDD";500;0;"AMD";"Windows";2.4;20619
1057;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A8-Series 7410";2.2;8;"HDD";1024;0;"AMD";"Windows";2.4;23923
371;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";128;0;"AMD";"Windows";2.1;22697
84;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";1024;0;"AMD";"Windows";2.1;21046
124;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"SSD";256;0;"AMD";"Windows";2.1;24029
5;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;4;"HDD";500;0;"AMD";"Windows";2.1;21312
1031;"Acer";"Notebook";15.6;1366;768;0;"AMD";"A9-Series 9420";3.0;6;"HDD";1024;0;"AMD";"Windows";2.1;21792
290;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.5;2;"SSD";16;0;"Intel";"ChromeOS";2.19;10603
1102;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.5;4;"SSD";16;0;"Intel";"ChromeOS";2.2;11136
1277;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.6;4;"HDD";500;0;"Intel";"Linux";2.4;15398
164;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"HDD";1024;0;"Intel";"Windows";2.1;18541
1198;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";2.0;4;"HDD";1024;0;"Intel";"Linux";2.1;14492
1183;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Celeron Dual";2.0;4;"HDD";500;0;"Intel";"Windows";2.1;17742
1242;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"Linux";2.4;19277
669;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"Linux";2.1;21951
176;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"SSD";128;0;"Intel";"Windows";2.1;23923
236;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Linux";2.1;20779
149;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Intel";"Windows";2.1;23816
739;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"Windows";2.4;21887
644;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Intel";"Windows";2.4;23976
466;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.0;4;"HDD";500;0;"Nvidia";"Windows";2.2;24988
54;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"Windows";2.4;20460
36;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Intel";"Linux";2.1;19554
759;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Intel";"Windows";2.1;31915
446;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"Linux";2.4;23539
942;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"Windows";2.23;32980
733;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;4;"HDD";500;0;"Intel";"Windows";2.4;29784
326;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Intel";"Windows";8.23;29251
769;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"Linux";2.1;15877
166;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";1024;0;"Intel";"Windows";2.1;19368
997;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Pentium Quad";1.1;4;"HDD";500;0;"Intel";"Windows";2.4;20246
313;"Acer";"Notebook";15.6;1920;1080;0;"AMD";"A8-Series 7410";2.2;8;"SSD";256;0;"AMD";"Windows";2.23;24988
460;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";"Windows";2.23;28984
914;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.4;4;"HDD";1024;0;"Intel";"Windows";2.4;26587
78;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"Windows";2.2;28238
133;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"Windows";7.2;30476
962;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;12;"Hybrid";128;1024;"Nvidia";"Windows";2.4;53760
1134;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"HDD";1024;0;"Nvidia";"Windows";2.23;32820
1187;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;4;"SSD";256;0;"Nvidia";"Windows";2.23;36816
1095;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";256;1024;"Nvidia";"Windows";2.4;42571
511;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;4;"HDD";500;0;"Nvidia";"Windows";2.2;34046
202;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"HDD";1024;0;"Nvidia";"Windows";2.23;39534
225;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.7;8;"SSD";256;0;"Nvidia";"Windows";2.2;44329
210;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Linux";2.4;41505
379;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Linux";2.4;45075
403;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"Linux";2.5;46833
296;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"Linux";2.5;52161
91;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;2;"HDD";1024;0;"Nvidia";"Windows";2.2;36710
392;"Acer";"Notebook";15.6;1366;768;0;"Intel";"Core i5";1.6;12;"HDD";1024;0;"Nvidia";"Windows";2.2;36976
120;"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i3";2.4;6;"HDD";1024;0;"Intel";"Windows";2.1;25521
285;"Acer";"Notebook";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"HDD";1024;0;"Intel";"Windows";2.15;35112
907;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Celeron Dual";1.5;4;"Flash storage";16;0;"Intel";"ChromeOS";2.2;19128
507;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"HDD";1024;0;"Nvidia";"Windows";2.2;32661
43;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Intel";"Windows";2.2;36337
277;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"HDD";1024;0;"Nvidia";"Windows";2.2;39694
51;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";2.2;44808
284;"Acer";"Notebook";15.6;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Nvidia";"Windows";3.0;50669
1208;"Acer";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;8;"HDD";1024;0;"Nvidia";"Windows";3.3;33513
1216;"Acer";"Notebook";17.3;1600;900;0;"Intel";"Core i3";2.0;4;"HDD";1024;0;"Nvidia";"Windows";3.3;31861
140;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"HDD";1024;0;"Nvidia";"Windows";3.0;34898
254;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i3";2.7;4;"SSD";256;0;"Nvidia";"Windows";3.0;37403
161;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;4;"SSD";256;0;"Nvidia";"Windows";3.0;42890
168;"Acer";"Notebook";17.3;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Nvidia";"Windows";3.0;45501
188;"Acer";"Ultrabook";13.3;1920;1080;0;"Intel";"Core i5";1.2;8;"SSD";256;0;"Intel";"Windows";1.12;52694
646;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.8;48964
9;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.6;41026
132;"Acer";"Ultrabook";14.0;1920;1080;0;"Intel";"Core i7";1.8;8;"SSD";256;0;"Intel";"Windows";1.6;47100
1234;"Apple";"Ultrabook";11.6;1366;768;0;"Intel";"Core i5";1.6;4;"Flash storage";256;0;"Intel";"macOS";1.08;51096
81;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core i5";1.3;8;"SSD";512;0;"Intel";"macOS";0.92;80453
1069;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.1;8;"Flash storage";256;0;"Intel";"macOS";0.92;69264
1193;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.1;8;"Flash storage";256;0;"Intel";"macOS";0.92;61965
1210;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"Flash storage";512;0;"Intel";"macOS";0.92;68145
794;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"Flash storage";512;0;"Intel";"macOS";0.92;62071
14;"Apple";"Ultrabook";12.0;2304;1440;0;"Intel";"Core M";1.2;8;"SSD";256;0;"Intel";"macOS";0.92;67261
26;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash storage";128;0;"Intel";"macOS";1.35;58555
34;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.6;8;"Flash storage";256;0;"Intel";"macOS";1.35;53173
1;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash storage";128;0;"Intel";"macOS";1.34;47896
7;"Apple";"Ultrabook";13.3;1440;900;0;"Intel";"Core i5";1.8;8;"Flash storage";256;0;"Intel";"macOS";1.34;61736
45;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.0;8;"SSD";256;0;"Intel";"macOS";1.37;75604
0;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";128;0;"Intel";"macOS";1.37;71379
15;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.3;8;"SSD";256;0;"Intel";"macOS";1.37;80908
270;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";2.9;8;"SSD";512;0;"Intel";"macOS";1.37;104370
4;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";256;0;"Intel";"macOS";1.37;96096
249;"Apple";"Ultrabook";13.3;2560;1600;0;"Intel";"Core i5";3.1;8;"SSD";512;0;"Intel";"macOS";1.37;108691
6;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.2;16;"Flash storage";256;0;"Intel";"macOS";2.04;114018
3;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.7;16;"SSD";512;0;"AMD";"macOS";1.83;135195
12;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.8;16;"SSD";256;0;"AMD";"macOS";1.83;130002
17;"Apple";"Ultrabook";15.4;2880;1800;0;"Intel";"Core i7";2.9;16;"SSD";512;0;"AMD";"macOS";1.83;152274
314;"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;2;"Flash storage";32;0;"Intel";"Windows";1.1;14652
348;"Asus";"2 in 1 Convertible";11.6;1366;768;1;"Intel";"Celeron Dual";1.1;4;"Flash storage";32;0;"Intel";"Windows";1.5;19980
697;"Asus";"2 in 1 Convertible";12.5;1920;1080;1;"Intel";"Core M";0.9;4;"Flash storage";64;0;"Intel";"ChromeOS";1.2;35644
953;"Asus";"2 in 1 Convertible";12.5;1920;1080;0;"Intel";"Core M";1.2;8;"Flash storage";64;0;"Intel";"ChromeOS";1.2;61752
628;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;6;"HDD";1024;0;"Intel";"Windows";1.5;34046
157;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";1.6;8;"SSD";256;0;"Intel";"Windows";1.1;70063
266;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i7";1.8;8;"Hybrid";512;512;"Intel";"Windows";4.1;79867
414;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.27;49444
826;"Asus";"2 in 1 Convertible";13.3;1920;1080;1;"Intel";"Core i5";2.5;8;"SSD";256;0;"Intel";"Windows";1.1;72354
977;"Asus";"2 in 1 Convertible";15.6;3840;2160;1;"Intel";"Core i7";2.7;16;"Hybrid";512;2048;"Nvidia";"Windows";2.3;95851
775;"Asus";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"HDD";2048;0;"Nvidia";"Windows";2.3;44702
370;"Asus";"2 in 1 Convertible";15.6;1920;1080;1;"Intel";"Core i7";2.7;12;"Hybrid";512;2048;"Nvidia";"Windows";2.26;58555
590;"Asus";"2 in 1 Convertible";15.6;1366;768;1;"Intel";"Core i5";2.5;8;"HDD";1024;0;"Intel";"Windows";2.2;39374
90;"Asus";"Gaming";15.6;1920;1080;0;"AMD";"FX 9830P";3.0;8;"HDD";1024;0;"AMD";"Windows";2.45;37243
1204;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.6;8;"HDD";1024;0;"Nvidia";"Windows";2.2;62284
851;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";2.1;101179
998;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.5;95851
1209;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.2;130483
517;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;24;"SSD";512;0;"Nvidia";"Windows";2.24;158135
492;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";1.99;71928
304;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";2.5;67399
790;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";2.24;71342
75;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Windows";2.2;50563
334;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"SSD";256;0;"Nvidia";"Windows";2.5;53227
534;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";2.3;87859
1109;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";128;1024;"Nvidia";"Windows";2.59;71342
1247;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";256;1024;"Nvidia";"Windows";2.34;123876
1185;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.6;8;"Hybrid";256;1024;"Nvidia";"Windows";2.591;48432
88;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";128;1024;"Nvidia";"Windows";2.2;77203
382;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";2.3;88178
643;"Asus";"Gaming";15.6;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"No OS";2.5;62284
435;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1600";3.2;8;"Hybrid";256;1024;"AMD";"Windows";3.2;90310
271;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";"Windows";3.2;82531
47;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;8;"Hybrid";256;1024;"AMD";"Windows";3.2;69211
887;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;12;"Hybrid";128;1024;"Nvidia";"Windows";2.2;72988
137;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";3.0;49977
840;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";512;1024;"Nvidia";"Windows";2.73;95851
1119;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;8;"Hybrid";128;1024;"Nvidia";"Windows";3.52;69929
69;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;12;"HDD";1024;0;"Nvidia";"Linux";3.0;50563
211;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;74965
401;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;81465
979;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.99;93187
391;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";3.0;84768
974;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.73;109219
1214;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;103843
301;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;113060
836;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";2.9;128884
251;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";4.3;95851
519;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;16;"Hybrid";256;1024;"Nvidia";"Windows";3.0;80133
615;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";128;1024;"Nvidia";"Windows";3.0;62231
390;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Windows";3.0;55358
291;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"HDD";1024;0;"Nvidia";"Windows";3.0;63243
247;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;16;"SSD";256;0;"Nvidia";"Windows";3.6;159787
238;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.9;32;"Hybrid";512;1024;"Nvidia";"Windows";4.7;207259
494;"Asus";"Gaming";17.3;1920;1080;1;"Intel";"Core i7";2.6;24;"Hybrid";256;1024;"Nvidia";"Windows";4.33;67612
372;"Asus";"Gaming";17.3;1920;1080;0;"AMD";"Ryzen 1700";3.0;16;"Hybrid";256;1024;"AMD";"Windows";3.25;117163
589;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i5";2.5;8;"Hybrid";128;1024;"Nvidia";"Windows";2.73;94306
1256;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";128;1024;"Nvidia";"Windows";4.0;101232
1099;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";128;1024;"Nvidia";"Windows";4.3;122491
1061;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"HDD";1024;0;"Nvidia";"No OS";4.0;53173
781;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";256;1024;"Nvidia";"Windows";4.3;125208
1197;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.6;16;"Hybrid";512;1024;"Nvidia";"Windows";4.3;114552
901;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.7;32;"Hybrid";256;256;"Nvidia";"Windows";3.58;68145
650;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.7;32;"SSD";512;0;"Nvidia";"Windows";3.8;149131
1066;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.7;64;"SSD";1024;0;"Nvidia";"Windows";3.58;211788
1092;"Asus";"Gaming";17.3;1920;1080;0;"Intel";"Core i7";2.8;8;"Hybrid";256;1024;"Nvidia";"Windows";2.7;85195
1049;"Asus";"Netbook";11.6;1366;768;0;"Intel";"Celeron Dual";1.6;4;"Flash storage";16;0;"Intel";"ChromeOS";1.2;15339
515;"Asus";"Netbook";11.6;1366;768;0;"Intel";"Celeron Dual";1.1;2;"Flash storage";32;0;"Intel";"Windows";1.1;13054
500;"Asus";"Netbook";11.6;1366;768;0;"Intel";"Celeron Dual";1.1;4;"Flash storage";64;0;"Intel";"Windows";1.2;18115
